doaj_id,periodico_id,titulo_doaj,titulo_norm,issn_doaj,eissn_doaj,issn_doaj_norm,eissn_doaj_norm,publisher_doaj,publisher_norm,country_doaj,url_journal_doaj,dominio_url_doaj,url_oa_start,subjects_doaj,license_doaj,seal_doaj,apc_doaj,added_on_doaj,last_updated_doaj,in_doaj_current,created_at
a97851ba219742f586eec9c9b767ad58,,"#Tear: Revista de Educação, Ciência e Tecnologia","#tear: revista de educacao, ciencia e tecnologia",,2238-8079,,2238-8079,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul (IFRS)","instituto federal de educacao, ciencia e tecnologia do rio grande do sul (ifrs)",BR,https://periodicos.ifrs.edu.br/index.php/tear/index,periodicos.ifrs.edu.br,,,,,,2012-01-01,,True,2026-04-05 15:50:46.663298+00:00
05cc2353347140e88215cdba8e3dc542,,ABC Imagem Cardiovascular,abc imagem cardiovascular,2318-8219,2675-312X,2318-8219,2675-312X,Sociedade Brasileira de Cardiologia (SBC),sociedade brasileira de cardiologia (sbc),BR,https://www.abcimaging.org/,www.abcimaging.org,,,,,,2017-01-01,,True,2026-04-05 15:50:46.663298+00:00
4d4853a96c3f4422aae8efb2c9fb78c7,,ABCS Health Sciences,abcs health sciences,2318-4965,2357-8114,2318-4965,2357-8114,Faculdade de Medicina do ABC,faculdade de medicina do abc,BR,http://www.portalnepas.org.br/abcshs,www.portalnepas.org.br,,,,,,2013-01-01,,True,2026-04-05 15:50:46.663298+00:00
ef83b4a19445496eab9da6ead0885768,,ABCustos,abcustos,,1980-4814,,1980-4814,Associação Brasileira de Custos,associacao brasileira de custos,BR,https://revista.abcustos.org.br/abcustos/index,revista.abcustos.org.br,,,,,,2006-01-01,,True,2026-04-05 15:50:46.663298+00:00
ae88894d81f041bc956da2608cebe69e,,ABEI Journal,abei journal,1518-0581,2595-8127,1518-0581,2595-8127,Associação Brasileira de Estudos Irlandeses,associacao brasileira de estudos irlandeses,BR,https://www.revistas.usp.br/abei/,www.revistas.usp.br,,,,,,2018-01-01,,True,2026-04-05 15:50:46.663298+00:00
02eca2d300224ab2b2436c012249c990,,ACTA Apicola Brasilica,acta apicola brasilica,,2358-2375,,2358-2375,Grupo Verde de Agroecologia e Abelhas (GVAA),grupo verde de agroecologia e abelhas (gvaa),BR,http://www.gvaa.com.br/revista/index.php/APB/index,www.gvaa.com.br,,,,,,2013-01-01,,True,2026-04-05 15:50:46.663298+00:00
86bd6d57c8b5409684651f77599f0e26,,ACTIO: Docência em Ciências,actio: docencia em ciencias,,2525-8923,,2525-8923,Universidade Tecnológica Federal do Paraná,universidade tecnologica federal do parana,BR,https://periodicos.utfpr.edu.br/actio,periodicos.utfpr.edu.br,,,,,,2016-01-01,,True,2026-04-05 15:50:46.663298+00:00
ab60824c819f43baaa82849bdc0bb8a9,,ALED,aled,,2447-9543,,2447-9543,Associação Latino-americana de Estudos do Discurso,associacao latino-americana de estudos do discurso,BR,https://periodicos.unb.br/index.php/raled,periodicos.unb.br,,,,,,2003-01-01,,True,2026-04-05 15:50:46.663298+00:00
24cf4d5817f647c9b3c8b6fdf5b5418c,,ARS,ars,1678-5320,2178-0447,1678-5320,2178-0447,Universidade de São Paulo,universidade de sao paulo,BR,http://www.scielo.br/ars,www.scielo.br,,,,,,2003-01-01,,True,2026-04-05 15:50:46.663298+00:00
485d2f4bc4614e9c8ba92b85866a061f,,Abakós,abakos,,2316-9451,,2316-9451,Pontifícia Universidade Católica de Minas Geais,pontificia universidade catolica de minas geais,BR,http://periodicos.pucminas.br/index.php/abakos/,periodicos.pucminas.br,,,,,,2012-01-01,,True,2026-04-05 15:50:46.663298+00:00
b6c10b13d8f14481a6ea6802a4b4c627,,Abehache,abehache,,2238-3026,,2238-3026,Associação Brasileira de Hispanistas,associacao brasileira de hispanistas,BR,https://revistaabehache.com/ojs/index.php/abehache/index,revistaabehache.com,,,,,,2011-01-01,,True,2026-04-05 15:50:46.663298+00:00
6e065f31fd314bb1bce152f342dbcafb,,Abril,abril,,1984-2090,,1984-2090,Universidade Federal Fluminense,universidade federal fluminense,BR,https://periodicos.uff.br/revistaabril,periodicos.uff.br,,,,,,2008-01-01,,True,2026-04-05 15:50:46.663298+00:00
990956a07f7e40c79b4dd0bf804edd70,,Acervo,acervo,0102-700X,2237-8723,0102-700X,2237-8723,Arquivo Nacional,arquivo nacional,BR,http://revista.arquivonacional.gov.br/,revista.arquivonacional.gov.br,,,,,,2014-01-01,,True,2026-04-05 15:50:46.663298+00:00
112f204683a2443e959fe54af91dd372,,Acta Amazonica,acta amazonica,0044-5967,,0044-5967,,Instituto Nacional de Pesquisas da Amazônia,instituto nacional de pesquisas da amazonia,BR,https://www.scielo.br/j/aa/,www.scielo.br,,,,,,2003-01-01,,True,2026-04-05 15:50:46.663298+00:00
65a9f9e416654797961db52d172e22c4,,Acta Ambiental Catarinense,acta ambiental catarinense,,2175-1552,,2175-1552,Universidade Comunitária da Região de Chapecó,universidade comunitaria da regiao de chapeco,BR,http://bell.unochapeco.edu.br/revistas/index.php/acta/index,bell.unochapeco.edu.br,,,,,,2008-01-01,,True,2026-04-05 15:50:46.663298+00:00
ec02cdfe6de44d4d98be2927640245c8,,Acta Botânica Brasílica,acta botanica brasilica,0102-3306,1677-941X,0102-3306,1677-941X,Sociedade Botânica do Brasil,sociedade botanica do brasil,BR,https://www.scielo.br/j/abb/,www.scielo.br,,,,,,1987-01-01,,True,2026-04-05 15:50:46.663298+00:00
e9c16baa7df54b7e84bae71fccc2e2f1,,Acta Brasiliensis,acta brasiliensis,2526-432X,2526-4338,2526-432X,2526-4338,Universidade Federal de Campina Grande,universidade federal de campina grande,BR,http://revistas.ufcg.edu.br/ActaBra,revistas.ufcg.edu.br,,,,,,2017-01-01,,True,2026-04-05 15:50:46.663298+00:00
5dd7a93da5c04e15a851fdf443e6e48e,,Acta Cirúrgica Brasileira,acta cirurgica brasileira,0102-8650,1678-2674,0102-8650,1678-2674,Sociedade Brasileira para o Desenvolvimento da Pesquisa em Cirurgia,sociedade brasileira para o desenvolvimento da pesquisa em cirurgia,BR,https://www.scielo.br/j/acb/,www.scielo.br,,,,,,1997-01-01,,True,2026-04-05 15:50:46.663298+00:00
cebd3a83682f4591accd71b986ec6f6f,,Acta Iguazu,acta iguazu,,2316-4093,,2316-4093,Universidade Estadual do Oeste do Paraná,universidade estadual do oeste do parana,BR,http://e-revista.unioeste.br/index.php/actaiguazu,e-revista.unioeste.br,,,,,,2012-01-01,,True,2026-04-05 15:50:46.663298+00:00
40200f5287364e0db0c8e7d148375aa7,,Acta Limnologica Brasiliensia,acta limnologica brasiliensia,,2179-975X,,2179-975X,Associação Brasileira de Limnologia,associacao brasileira de limnologia,BR,https://www.scielo.br/j/alb/,www.scielo.br,,,,,,2010-01-01,,True,2026-04-05 15:50:46.663298+00:00
0b9d3e5518ed44e092c6fac42c309dfa,,Acta Ortopédica Brasileira,acta ortopedica brasileira,1413-7852,,1413-7852,,Sociedade Brasileira de Ortopedia e Traumatologia,sociedade brasileira de ortopedia e traumatologia,BR,https://www.scielo.br/j/aob/grid,www.scielo.br,,,,,,2000-01-01,,True,2026-04-05 15:50:46.663298+00:00
4a9ebc92a9f94f9dab5404d6fb281972,,Acta Paulista de Enfermagem,acta paulista de enfermagem,,1982-0194,,1982-0194,"Escola Paulista de Enfermagem, Universidade Federal de São Paulo","escola paulista de enfermagem, universidade federal de sao paulo",BR,https://www.scielo.br/j/ape/,www.scielo.br,,,,,,2012-01-01,,True,2026-04-05 15:50:46.663298+00:00
4a4b57c6c39f45dab36b6509458a3dc8,,Acta Scientiarum. Education,acta scientiarum. education,2178-5198,2178-5201,2178-5198,2178-5201,Universidade Estadual de Maringá,universidade estadual de maringa,BR,https://periodicos.uem.br/ojs/index.php/ActaSciEduc,periodicos.uem.br,,,,,,2010-01-01,,True,2026-04-05 15:50:46.663298+00:00
9e1fb4b6b1c64d9faab174f968b2d6b3,,Acta Scientiarum. Health Sciences,acta scientiarum. health sciences,1679-9291,1807-8648,1679-9291,1807-8648,Universidade Estadual de Maringá,universidade estadual de maringa,BR,https://periodicos.uem.br/ojs/index.php/ActaSciHealthSci/,periodicos.uem.br,,,,,,1998-01-01,,True,2026-04-05 15:50:46.663298+00:00
211bce60933f45ea805cf4bed0ab36fc,,Acta Scientiarum: Animal Sciences,acta scientiarum: animal sciences,1806-2636,1807-8672,1806-2636,1807-8672,Editora da Universidade Estadual de Maringá (Eduem),editora da universidade estadual de maringa (eduem),BR,https://periodicos.uem.br/ojs/index.php/ActaSciAnimSci/index,periodicos.uem.br,,,,,,2011-01-01,,True,2026-04-05 15:50:46.663298+00:00
0a6cbf7338f44bdaae687ca24512c8a0,,Acta Scientiarum: Biological Sciences,acta scientiarum: biological sciences,1679-9283,1807-863X,1679-9283,1807-863X,Universidade Estadual de Maringá,universidade estadual de maringa,BR,https://periodicos.uem.br/ojs/index.php/ActaSciBiolSci/index,periodicos.uem.br,,,,,,1998-01-01,,True,2026-04-05 15:50:46.663298+00:00
4d4281da318c44e8a443e412b29f6217,,Acta Scientiarum: Language and Culture,acta scientiarum: language and culture,1983-4675,1983-4683,1983-4675,1983-4683,Universidade Estadual de Maringá,universidade estadual de maringa,BR,https://periodicos.uem.br/ojs/index.php/ActaSciLangCult/index,periodicos.uem.br,,,,,,2008-01-01,,True,2026-04-05 15:50:46.663298+00:00
d7dc9f52eb384a05bb8b71e50adbd554,,Acta Scientiarum: Technology,acta scientiarum: technology,1806-2563,1807-8664,1806-2563,1807-8664,Universidade Estadual de Maringá,universidade estadual de maringa,BR,https://periodicos.uem.br/ojs/index.php/ActaSciTechnol/index,periodicos.uem.br,,,,,,2010-01-01,,True,2026-04-05 15:50:46.663298+00:00
023c8e76489a48a3b260ede11db80143,,Administração Pública e Gestão Social,administracao publica e gestao social,,2175-5787,,2175-5787,Universidade Federal de Viçosa,universidade federal de vicosa,BR,http://www.apgs.ufv.br,www.apgs.ufv.br,,,,,,2009-01-01,,True,2026-04-05 15:50:46.663298+00:00
71d38f79cc7641509999a8c7795a0a77,,Administração: Ensino e Pesquisa,administracao: ensino e pesquisa,2177-6083,2358-0917,2177-6083,2358-0917,Associação Nacional dos Cursos de Graduação em Administração,associacao nacional dos cursos de graduacao em administracao,BR,http://raep.emnuvens.com.br/raep,raep.emnuvens.com.br,,,,,,2010-01-01,,True,2026-04-05 15:50:46.663298+00:00
7ae1b01185b74e2892b351cc8c9eeb1e,,Advances in Forestry Science,advances in forestry science,,2357-8181,,2357-8181,Universidade Federal de Mato Grosso (UFMT),universidade federal de mato grosso (ufmt),BR,http://periodicoscientificos.ufmt.br/ojs/index.php/afor,periodicoscientificos.ufmt.br,,,,,,2014-01-01,,True,2026-04-05 15:50:46.663298+00:00
75f67a3b82774e1f819a6f0f61a80763,,Advances in Knowledge Representation,advances in knowledge representation,,3085-7589,,3085-7589,UFMG,ufmg,BR,https://periodicos.ufmg.br/index.php/advances-kr/index,periodicos.ufmg.br,,,,,,2020-01-01,,True,2026-04-05 15:50:46.663298+00:00
f8d26525e9324014843e3fc6f1b1af0f,,Advances in Weed Science,advances in weed science,,2675-9462,,2675-9462,Brazilian Weed Science Society,brazilian weed science society,BR,https://awsjournal.org/,awsjournal.org,,,,,,2021-01-01,,True,2026-04-05 15:50:46.663298+00:00
81fc185224344c659e6d318a2a17f777,,Afro-Ásia,afro-asia,0002-0591,1981-1411,0002-0591,1981-1411,Universidade Federal da Bahia - Centro de Estudos Afro-Orientais,universidade federal da bahia - centro de estudos afro-orientais,BR,https://periodicos.ufba.br/index.php/afroasia/index,periodicos.ufba.br,,,,,,2009-01-01,,True,2026-04-05 15:50:46.663298+00:00
cda23269bbae44f78ab487c9f464ff33,,Agrarian,agrarian,,1984-2538,,1984-2538,Universidade Federal da Grande Dourados,universidade federal da grande dourados,BR,http://ojs.ufgd.edu.br/index.php/agrarian,ojs.ufgd.edu.br,,,,,,2008-01-01,,True,2026-04-05 15:50:46.663298+00:00
7c8715391b264988ad5d224f0533832f,,Agri-Environmental Sciences,agri-environmental sciences,,2525-4804,,2525-4804,Universidade Estadual do Tocantins,universidade estadual do tocantins,BR,https://revista.unitins.br/index.php/agri-environmental-sciences/index,revista.unitins.br,,,,,,2015-01-01,,True,2026-04-05 15:50:46.663298+00:00
7a3644a8c0ad410e8027787ef4d2c97e,,Agro@mbiente On-line,agro@mbiente on-line,,1982-8470,,1982-8470,Universidade Federal de Roraima,universidade federal de roraima,BR,http://www.ufrr.br/revista/index.php/agroambiente,www.ufrr.br,,,,,,2007-01-01,,True,2026-04-05 15:50:46.663298+00:00
d0a36551602c47e5b599c9b950c1e754,,Agropecuária Catarinense,agropecuaria catarinense,0103-0779,2525-6076,0103-0779,2525-6076,Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina,empresa de pesquisa agropecuaria e extensao rural de santa catarina,BR,https://publicacoes.epagri.sc.gov.br/RAC,publicacoes.epagri.sc.gov.br,,,,,,2016-01-01,,True,2026-04-05 15:50:46.663298+00:00
dc0e9f7fa60d430889a9d502229171ef,,Albuquerque,albuquerque,1983-9472,2526-7280,1983-9472,2526-7280,Universidade Federal de Mato Grosso do Sul,universidade federal de mato grosso do sul,BR,https://periodicos.ufms.br/index.php/AlbRHis/index,periodicos.ufms.br,,,,,,2014-01-01,,True,2026-04-05 15:50:46.663298+00:00
89f3cb27177b4a8081b4eb0cf4235347,,Alceu,alceu,1518-8728,2175-7402,1518-8728,2175-7402,Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),pontificia universidade catolica do rio de janeiro (puc-rio),BR,http://revistaalceu.com.puc-rio.br/,revistaalceu.com.puc-rio.br,,,,,,2019-01-01,,True,2026-04-05 15:50:46.663298+00:00
d863e292cdb54c0d9bfe0dfa22c8db98,,Aleph,aleph,,1807-6211,,1807-6211,Universidade Federal Fluminense-UFF,universidade federal fluminense-uff,BR,https://periodicos.uff.br/revistaleph,periodicos.uff.br,,,,,,2009-01-01,,True,2026-04-05 15:50:46.663298+00:00
3396f3ab5bb646d8b1efc900ca27ecaa,,Aletria: Revista de Estudos de Literatura,aletria: revista de estudos de literatura,1679-3749,2317-2096,1679-3749,2317-2096,Universidade Federal de Minas Gerais,universidade federal de minas gerais,BR,http://www.periodicos.letras.ufmg.br/index.php/aletria/index,www.periodicos.letras.ufmg.br,,,,,,1996-01-01,,True,2026-04-05 15:50:46.663298+00:00
