url_check_id,periodico_id,source_system,url_original,url_original_domain,check_date,http_status,redirect_count,final_url,final_domain,domain_changed,https_valid,timeout,ojs_detected,ojs_version_hint,is_accessible,problem_type,notes,created_at
URL_6F66D854FFA0D84B,PER_54AE470F37D2A31F,periodicos,https://rbciamb.com.br/,rbciamb.com.br,,200,2,https://www.rbciamb.com.br/Publicacoes_RBCIAMB,www.rbciamb.com.br,True,True,False,True,3.3.0,True,redirect_domain_changed,,
URL_EA5C0C8C2B76D9C6,PER_857F97C67AAC346D,periodicos,http://revista.arquivonacional.gov.br/,revista.arquivonacional.gov.br,,,0,,,,False,False,,,False,ssl_error,"HTTPSConnectionPool(host='revista.arquivonacional.gov.br', port=443): Max retries exceeded with url: / (Caused by SSLError(CertificateError(""hostname 'revista.arquivonacional.gov.br' doesn't match either of '*.an.gov.br', 'an.gov.br'"")))",
URL_951C826C16F3B3DF,PER_1B3B494ADD60A911,periodicos,http://lalca.acv.ibict.br/,lalca.acv.ibict.br,,,0,,,,False,False,,,False,ssl_error,"HTTPSConnectionPool(host='lalca.acv.ibict.br', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",
URL_36079A65E1AFD625,PER_6E1D54F5A5C430A4,periodicos,https://ojs.edicic.org/,ojs.edicic.org,,200,1,https://ojs.edicic.org/revistaedicic,ojs.edicic.org,False,True,False,True,3.3.0,True,redirect,,
URL_E42ACC13D135314D,PER_5FF76EE1429CAD5C,periodicos,https://periodicos.ufpb.br/,periodicos.ufpb.br,,,0,,,,,False,,,False,connection_error,"('Connection aborted.', OSError(22, 'Invalid argument'))",
URL_CD72C24DCB553B06,PER_CD6EC0AB00EDC60D,periodicos,http://www.abhr.org.br/plura/ojs/,www.abhr.org.br,,404,0,http://www.abhr.org.br/plura/ojs/,www.abhr.org.br,False,,False,False,,False,not_found,,
URL_232143D7AA761C5B,PER_F3CDE25EC28E653F,periodicos,https://www.revistas.uneb.br/,www.revistas.uneb.br,,200,0,https://www.revistas.uneb.br/,www.revistas.uneb.br,False,True,False,True,3.3.0,True,ok,,
URL_84EFE79173C793C8,PER_2BB1976FDBA015A5,periodicos,https://bjr.sbpjor.org.br/,bjr.sbpjor.org.br,,200,3,https://bjr.sbpjor.org.br/bjr,bjr.sbpjor.org.br,False,True,False,True,3.3.0,True,redirect,,
URL_5AB58A9F7CCDE147,PER_E336EF5D9332FE0B,periodicos,http://revista.abrasd.com.br/,revista.abrasd.com.br,,200,2,https://revista.abrasd.com.br/index.php/rbsd,revista.abrasd.com.br,False,True,False,True,3.3.0,True,redirect,,
URL_9AD1E0E6256B036E,PER_60C9FC9FE14CFD48,periodicos,https://bioscience.org.br/bioscience/,bioscience.org.br,,200,1,https://bioscience.org.br/bioscience/index.php/bioscience,bioscience.org.br,False,True,False,True,3.4.0,True,redirect,,
URL_C376F1793EE1C0C9,PER_8E591C584F162BE1,periodicos,https://regepe.org.br/,regepe.org.br,,200,2,https://regepe.org.br/regepe,regepe.org.br,False,True,False,True,3.3.0,True,redirect,,
URL_68C0577E7278E660,PER_CD50977D6FEF94CF,periodicos,https://rhhj.anpuh.org/,rhhj.anpuh.org,,200,1,https://rhhj.anpuh.org/RHHJ,rhhj.anpuh.org,False,True,False,True,3.3.0,True,redirect,,
URL_B212BBA94761466B,PER_715B84E71039C7CF,periodicos,https://www.anppom.com.br/revista/,www.anppom.com.br,,200,1,https://www.anppom.com.br/revista/index.php/opus,www.anppom.com.br,False,True,False,True,2.4.8,True,redirect,,
