periodico_id,titulo_principal,titulo_abreviado,titulo_norm,issn_impresso,issn_eletronico,issn_l,issn_impresso_norm,issn_eletronico_norm,issn_l_norm,publisher_nome,publisher_norm,pais,area_tematica,plataforma_editorial,url_principal_atual,dominio_url_principal,fonte_url_principal,ativo_editorial_recente,ano_ultimo_registro_editorial,tem_doaj,tem_latindex,tem_titledb,observacao_match
PER_54AE470F37D2A31F,RBCIAMB,,rbciamb,1808-4524,2176-9478,,1808-4524,2176-9478,,ABES - Associação Brasileira de Engenharia Sanitária e Ambiental,abes - associacao brasileira de engenharia sanitaria e ambiental,Brasil,,OJS3,https://rbciamb.com.br/,rbciamb.com.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=18; anos=2005-2022
PER_857F97C67AAC346D,Acervo,,acervo,0102-700X,2237-8723,,0102-700X,2237-8723,,Arquivo Nacional,arquivo nacional,Brasil,,OJS3,http://revista.arquivonacional.gov.br/,revista.arquivonacional.gov.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=33; anos=1986-2022
PER_1B3B494ADD60A911,Revista Latino-Americana em Avaliação do Ciclo de Vida,,revista latino-americana em avaliacao do ciclo de vida,,2527-0184,,,2527-0184,,IBICT,ibict,Brasil,,OJS3,http://lalca.acv.ibict.br/,lalca.acv.ibict.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=5; anos=2017-2021
PER_6E1D54F5A5C430A4,Revista EDICIC,,revista edicic,,2236-5753,,,2236-5753,,Asociación de Educación e Investigación en Ciencia de la Información de Iberoamérica y el Caribe (EDICIC),asociacion de educacion e investigacion en ciencia de la informacion de iberoamerica y el caribe (edicic),Brasil,,OJS3,https://ojs.edicic.org/,ojs.edicic.org,titledb,,,False,False,True,gerado a partir do titledb; entradas=3; anos=2011-2023
PER_5FF76EE1429CAD5C,Revista da ABET,,revista da abet,1679-2483,1676-4439,,1679-2483,1676-4439,,Associação Brasileira de Estudos do Trabalho,associacao brasileira de estudos do trabalho,Brasil,,OJS3,https://periodicos.ufpb.br/,periodicos.ufpb.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=39; anos=2001-2020
PER_CD6EC0AB00EDC60D,Anais dos Simpósios da ABHR,,anais dos simposios da abhr,,2237-4132,,,2237-4132,,Associação Brasileira de História das Religiões,associacao brasileira de historia das religioes,Brasil,,OJS3,http://www.abhr.org.br/plura/ojs/,www.abhr.org.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=3; anos=2011-2015
PER_F3CDE25EC28E653F,Revista Brasileira de Pesquisa (Auto)Biográfica,,revista brasileira de pesquisa (auto)biografica,,2525-426X,,,2525-426X,,Associação Brasileira de Pesquisa (Auto)Biográfica,associacao brasileira de pesquisa (auto)biografica,Brasil,,OJS3,https://www.revistas.uneb.br/,www.revistas.uneb.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=7; anos=2016-2022
PER_2BB1976FDBA015A5,Brazilian Journalism Research (BJR),,brazilian journalism research (bjr),1808-4079,1981-9854,,1808-4079,1981-9854,,Associação Brasileira de Pesquisadores em Jornalismo-SBPJor,associacao brasileira de pesquisadores em jornalismo-sbpjor,Brasil,,OJS3,https://bjr.sbpjor.org.br/,bjr.sbpjor.org.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=18; anos=2005-2022
PER_E336EF5D9332FE0B,Revista Brasileira de Sociologia do Direito,,revista brasileira de sociologia do direito,,2359-5582,,,2359-5582,,Associação Brasileira de Pesquisadores em Sociologia do Direito - ABraSD,associacao brasileira de pesquisadores em sociologia do direito - abrasd,Brasil,,OJS3,http://revista.abrasd.com.br/,revista.abrasd.com.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=9; anos=2014-2022
PER_60C9FC9FE14CFD48,BioSCIENCE,,bioscience,2764-9342,2764-9350,,2764-9342,2764-9350,,Associação Médica do Paraná,associacao medica do parana,Brasil,,OJS3,https://bioscience.org.br/bioscience/,bioscience.org.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=2; anos=2021-2022
PER_8E591C584F162BE1,REGEPE Entrepreneurship and Small Business Journal,,regepe entrepreneurship and small business journal,,2965-1506,,,2965-1506,,Associação Nacional de Estudos em Empreendedorismo e Gestão de Pequenas Empresas (ANEGEPE),associacao nacional de estudos em empreendedorismo e gestao de pequenas empresas (anegepe),Brasil,,OJS3,https://regepe.org.br/,regepe.org.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=11; anos=2012-2022
PER_CD50977D6FEF94CF,Revista História Hoje,,revista historia hoje,1806-3993,1806-3993,,1806-3993,1806-3993,,Associação Nacional de História (ANPUH),associacao nacional de historia (anpuh),Brasil,,OJS3,https://rhhj.anpuh.org/,rhhj.anpuh.org,titledb,,,False,False,True,gerado a partir do titledb; entradas=11; anos=2012-2022
PER_715B84E71039C7CF,OPUS,,opus,0103-7412,,,0103-7412,,,Associação Nacional de Pesquisa e Pós-Graduação em Música,associacao nacional de pesquisa e pos-graduacao em musica,Brasil,,OJS3,https://www.anppom.com.br/revista/,www.anppom.com.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=14; anos=1989-2008
PER_04455E1DE96735BB,OPUS,,opus,0103-7412,1517-7017,,0103-7412,1517-7017,,Associação Nacional de Pesquisa e Pós-Graduação em Música,associacao nacional de pesquisa e pos-graduacao em musica,Brasil,,OJS3,https://www.anppom.com.br/revista/,www.anppom.com.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=1; anos=2009-2009
PER_A60ED85FBCE97606,OPUS,,opus,,1517-7017,,,1517-7017,,Associação Nacional de Pesquisa e Pós-Graduação em Música,associacao nacional de pesquisa e pos-graduacao em musica,Brasil,,OJS3,https://www.anppom.com.br/revista/,www.anppom.com.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=13; anos=2010-2022
PER_DADEFD31F8F51BF5,RBTur: Revista Brasileira de Pesquisa em Turismo,,rbtur: revista brasileira de pesquisa em turismo,1982-6125,,,1982-6125,,,Associação Nacional de Pesquisa e Pós-Graduação em Turismo,associacao nacional de pesquisa e pos-graduacao em turismo,Brasil,,OJS3,https://rbtur.org.br/,rbtur.org.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=16; anos=2007-2022
PER_24F02D19896FE52D,Revista do Centro Acadêmico Afonso Pena (CAAP),,revista do centro academico afonso pena (caap),1415-0334,2238-3840,,1415-0334,2238-3840,,Centro Acadêmico Afonso Pena (CAAP),centro academico afonso pena (caap),Brasil,,OJS3,https://periodicos.ufmg.br/,periodicos.ufmg.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=24; anos=1996-2022
PER_7514757C59CD038C,Verbo de Minas,,verbo de minas,1516-0637,,,1516-0637,,,Centro de Ensino Superior de Juiz de Fora - (CES/JF),centro de ensino superior de juiz de fora - (ces/jf),Brasil,,OJS3,https://seer.cesjf.br/,seer.cesjf.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=6; anos=2006-2011
PER_D4E224AA0818EC40,Verbo de Minas,,verbo de minas,,1984-6959,,,1984-6959,,Centro de Ensino Superior de Juiz de Fora - (CES/JF),centro de ensino superior de juiz de fora - (ces/jf),Brasil,,OJS3,https://seer.cesjf.br/,seer.cesjf.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=9; anos=2012-2020
PER_C5ED009C6911F4D6,Cadernos Cenpec,,cadernos cenpec,,2237-9983,,,2237-9983,,"Centro de Estudos e Pesquisas em Educação, Cultura e Ação Comunitária","centro de estudos e pesquisas em educacao, cultura e acao comunitaria",Brasil,,OJS3,http://cadernos.cenpec.org.br/cadernos/,cadernos.cenpec.org.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=14; anos=2006-2019
PER_E97D67B813ADC3C2,Revista Jurídica da Presidência,,revista juridica da presidencia,2675-4746,2236-3645,,2675-4746,2236-3645,,Centro de Estudos Jurídicos da Presidência,centro de estudos juridicos da presidencia,Brasil,,OJS3,https://revistajuridica.presidencia.gov.br/,revistajuridica.presidencia.gov.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=22; anos=1999-2020
PER_52BF29B5F5E691C6,Revista Conexão SIPAER,,revista conexao sipaer,,2176-7777,,,2176-7777,,Centro de Investigação e Prevenção de Acidentes Aeronáuticos-CENIPA,centro de investigacao e prevencao de acidentes aeronauticos-cenipa,Brasil,,OJS3,http://conexaosipaer.cenipa.gov.br/,conexaosipaer.cenipa.gov.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=11; anos=2009-2019
PER_E57277C934359553,RACE - Revista de Administração do Cesmac,,race - revista de administracao do cesmac,1806-0714,,,1806-0714,,,Centro Universitário CESMAC,centro universitario cesmac,Brasil,,OJS3,https://revistas.cesmac.edu.br/,revistas.cesmac.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=5; anos=2016-2021
PER_2ADB1810EFCC0424,Iniciação Científica CESUMAR,,iniciacao cientifica cesumar,1518-1243,2176-9192,,1518-1243,2176-9192,,Centro Universitário Cesumar,centro universitario cesumar,Brasil,,OJS3,https://periodicos.unicesumar.edu.br/,periodicos.unicesumar.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=21; anos=1999-2022
PER_4E2FE08656416F95,Revista Cesumar: Ciências Humanas e Sociais Aplicadas,,revista cesumar: ciencias humanas e sociais aplicadas,1516-2664,2176-9176,,1516-2664,2176-9176,,Centro Universitário Cesumar,centro universitario cesumar,Brasil,,OJS3,https://periodicos.unicesumar.edu.br/,periodicos.unicesumar.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=25; anos=1997-2022
PER_8A0146901E26508E,Revista em Agronegócio e Meio Ambiente,,revista em agronegocio e meio ambiente,1981-9951,2176-9168,,1981-9951,2176-9168,,Centro Universitário Cesumar,centro universitario cesumar,Brasil,,OJS3,https://periodicos.unicesumar.edu.br/,periodicos.unicesumar.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=12; anos=2008-2022
PER_3926CD12483B7054,Revista Jurídica Cesumar: Mestrado,,revista juridica cesumar: mestrado,1677-6402,2176-9184,,1677-6402,2176-9184,,Centro Universitário Cesumar,centro universitario cesumar,Brasil,,OJS3,https://periodicos.unicesumar.edu.br/,periodicos.unicesumar.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=22; anos=2001-2022
PER_A257C910030C9084,Saúde e Pesquisa,,saude e pesquisa,1983-1870,2176-9206,,1983-1870,2176-9206,,Centro Universitário Cesumar,centro universitario cesumar,Brasil,,OJS3,https://periodicos.unicesumar.edu.br/,periodicos.unicesumar.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=15; anos=2008-2022
PER_18458B45EB30C917,Revista Gestão em Análise,,revista gestao em analise,1984-7297,2359-618X,,1984-7297,2359-618X,,Centro Universitário Christus,centro universitario christus,Brasil,,OJS3,https://periodicos.unichristus.edu.br/,periodicos.unichristus.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=9; anos=2014-2022
