periodico_id;titulo_principal;issn_impresso;issn_eletronico;grupo_validacao;fonte_consultada;url_funcional_identificada;fonte_url_avaliada;url_real_correta_identificada;periodico_ativo_manual;ultimo_ano_editorial_manual;evidencia_volume_recente;mudanca_url_observada;redirecionamento_observado;inconsistencia_issn;correspondencia_periodico;problema_infraestrutura;qualidade_url_origem;resolucao_direta_real_identificada;recuperacao_assistida;observacao_validacao;classificacao_validacao
PER_118DBAFB63B31BA7;Libertas: Revista de Pesquisa em Direito;;2319-0159;A;Titledb;http://www.libertas.ufop.br/index.php/libertas/index;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_B734341E59FFC850;e-Hum;;1984-767X;A;Titledb;http://revistas.unibh.br/index.php/dchla/index;Titledb;True;True;2021;False;True;True;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_28418FF1F42CF9CB;Ciência & Tecnologia Social;;2236-7837;A;Titledb;https://periodicos.unb.br/index.php/cts/;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_6B14766C313ACEA7;Embornal;;2177-160X;A;Titledb;http://seer.uece.br/?journal=EMBORNAL&page=index;Titledb;False;False;;False;True;True;False;duvidoso;erro_http;invalida;False;alta_complexidade;manutencao;inconclusivo
PER_D793DA031DE8B705;Navigator;0100-1248;2763-6267;A;Titledb;https://www.portaldeperiodicos.marinha.mil.br/index.php/navigator/index;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_E1FDF769F56C64A1;Périplos: Revista de Estudos sobre Migrações;;2594-7443;A;Titledb;http://periodicos.unb.br/index.php/obmigra_periplos/index;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_E261B889C9A9537B;Ciência Animal;0104-3773;2178-4647;A;Titledb;https://revistas.uece.br/index.php/cienciaanimal/index;Titledb;False;False;;False;True;True;False;duvidoso;erro_http;invalida;False;alta_complexidade;manutencao;inconclusivo
PER_0EE4DCE74457D6F0;Revista Espaço Acadêmico;;1519-6186;A;Titledb;https://periodicos.uem.br/ojs/index.php/EspacoAcademico;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_3920558ADD8EC761;Pós - Revista Brasiliense de Pós-Graduação em Ciências Sociais;1415-4056;2317-0344;A;Titledb;http://periodicos.unb.br/index.php/revistapos;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_C96C488218C0B49F;RENEFARA-Revista Eletrônica de Educação da Faculdade Araguaia;;2236-8779;A;Titledb;https://sipe.uniaraguaia.edu.br/index.php/REVISTAUNIARAGUAIA/index;Titledb;True;True;2025;True;True;False;False;correto;sem_falha_tecnica_especifica;indireta;True;alta_complexidade;sem_observacao_adicional;confirmado
PER_1B66154157D9B583;Boletim Gaúcho de Geografia;0101-7888;2357-9447;A;Titledb;https://seer.ufrgs.br/index.php/bgg/index;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_32A6E71299B62A21;Revista CONNEXIO;2177-0840;2236-8760;A;Titledb;http://repositorio.unp.br/index.php/connexio;Titledb;False;False;;False;True;False;False;duvidoso;erro_http;invalida;False;alta_complexidade;erro_http;inconclusivo
PER_B69B9338B83592F2;ESPAÇO PÚBLICO - Revista de Políticas Públicas da UFPE;;2595-5535;A;Titledb;https://periodicos.ufpe.br/revistas/politicaspublicas;Titledb;True;True;2026;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_6369E1F27C1B3C2B;Revista de Enfermagem;1808-4346;2317-6075;A;Titledb;https://revistas.fw.uri.br/index.php/revistadeenfermagem/index;Titledb;True;True;2021;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_21FA0DDA5A22B409;TEAR ONLINE;;2238-8516;A;Titledb;http://periodicos.est.edu.br/index.php/tear/;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_7514757C59CD038C;Verbo de Minas;1516-0637;;A;Titledb;https://seer.uniacademia.edu.br/index.php/verboDeMinas/index;Titledb;True;True;2025;True;True;False;False;correto;sem_falha_tecnica_especifica;indireta;True;alta_complexidade;sem_observacao_adicional;confirmado
PER_8EA6A181AB91E5B8;Varia Scientia Agrárias;2177-3165;2177-5109;A;Titledb;http://e-revista.unioeste.br/index.php/variascientiaagraria;Titledb;True;True;2017;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_311BBAF73F287712;Anais do Museu Histórico Nacional;1413-1803;2674-7022;A;Titledb;https://anaismhn.museus.gov.br/index.php/amhn;Titledb;True;True;2025;True;False;True;False;correto;sem_falha_tecnica_especifica;indireta;True;baixa_complexidade;sem_observacao_adicional;confirmado
PER_83B1E16C31FB0975;Revista de Matemática;;2237-8103;A;Titledb;https://periodicos.ufop.br/rmat;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_114FFA4E6E5467C9;Revista Brasileira de Educação de Jovens e Adultos;;2317-6571;A;Titledb;https://www.revistas.uneb.br/rieja;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_A0B04B9DE2A9936F;Translatio;1517-0160;2236-4013;A;Titledb;https://seer.ufrgs.br/index.php/translatio/;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_B2E405E8E3E5387C;Revista Eletrônica Mutações;;2178-7018;A;Titledb;https://www.periodicos.ufam.edu.br/index.php/relem;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_825DEF7FB73490E0;Revista Eletrônica de Ciências da Educação;;1677-3098;A;Titledb;https://www.periodicosibepes.org.br/index.php/reped;Titledb;True;True;2018;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_15B2776C50FA1E9A;NURES: Revista do Núcleo de Estudos de Religião e Sociedade;;1981-156X;A;Titledb;https://revistas.pucsp.br/index.php/nures/index;Titledb;True;True;2018;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_80C54CAC714F3186;C@lea - Cadernos de Aulas do LEA;;2317-3025;A;Titledb;https://periodicos.uesc.br/index.php/calea;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_E37E8E4C93A73BA4;Revista eletrônica Direito & Dalogicidade;;2178-826X;A;Titledb;https://periodicos.urca.br/ojs/index.php/DirDialog;Titledb;True;True;2022;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_08A69FFF72FD86A3;Educação e (Trans)formação;;2448-2145;A;Titledb;https://www.journals.ufrpe.br/index.php/educacaoetransformacao;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_F3DA86BA0B4E5BB6;Fundação Rosemar Pimentel – Universidade Geraldo Di Biase;;2236-2649;A;Titledb;https://revista.ugb.edu.br/episteme;Titledb;True;True;2025;True;True;True;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_737BD26E8410622A;Ecolinguística: Revista brasileira de ecologia e linguagem (ECO-REBEL);;2447-7052;A;Titledb;https://periodicos.unb.br/index.php/erbel;Titledb;True;True;2026;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_ECF491DA6634B707;Entheoria: Cadernos de Letras e Humanas;;2446-6115;A;Titledb;https://www.journals.ufrpe.br/index.php/entheoria;Titledb;True;True;2024;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_9795089847B20563;Boletim do Herbário Ezechias Paulo Heringer;0104-5334;;B;Titledb;http://revistas.jardimbotanico.ibict.br/;Titledb;False;False;;False;True;True;False;duvidoso;redirect;invalida;False;alta_complexidade;redirect;inconclusivo
PER_F9AABE8A9461E818;Anais do Seminário de Educação, Linguagem e Tecnologias;;2238-3735;B;Titledb;https://www.anais.ueg.br/index.php/selt/;Titledb;True;True;2019;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_AF41599F16BA9856;Revista Textos Graduados;1415-3777;2447-7044;B;Titledb;https://periodicos.unb.br/index.php/tg;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_8DCA9D164F243007;Revista UNIMAR;0100-9354;;B;Titledb;https://periodicos.uem.br/ojs/index.php/RevUNIMAR;Titledb;True;True;1980;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_5FAF97C9106DF7A9;Revista Enciclopédia de Filosofia;;2359-5965;B;Titledb;https://periodicos.ufpel.edu.br/index.php/Enciclopedia;Titledb;True;True;2020;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_6971567B280BC8AA;Anais do Encontro de Ensino de Graduação-EGRAD;;2179-7773;B;Titledb;https://anaisonline.uems.br/egrad;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_B4FD0AD2F3738222;Revista Pesquisa & Criação;1677-3993;1982-7857;B;Titledb;https://periodicos.unir.br/index.php/propesq;Titledb;True;True;2016;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_1446DD298C7A4288;Hypnos;1413-9138;2177-5346;B;Titledb;https://hypnos.org.br/;Titledb;True;True;2025;True;True;True;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_D2A13E39F8B4D154;Revista do Mestrado Profissional Gestão em Organizações Aprendentes;;2317-9082;B;Titledb;https://periodicos.ufpb.br/;Titledb;False;False;;False;True;True;False;duvidoso;redirect;invalida;False;alta_complexidade;erro_http;inconclusivo
PER_3A71ECAFA2C7C478;Estatística e Sociedade;;2237-8898;B;Titledb;https://seer.ufrgs.br/estatisticaesociedade;Titledb;True;True;2023;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_7FD99A240AFD3AD2;Anais dos Seminários Internacionais de Estudos de Linguagens e das Semanas de Letras - FAALC/UFMS;;2675-7419;B;Titledb;https://periodicos.ufms.br/index.php/SIEL;Titledb;True;True;2024;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_147493218FDCF533;REVCERES;2447-4320;2447-4320;B;Titledb;https://periodicos.ufrn.br/Revistadoceres;Titledb;True;True;2015;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_93F4A31D89EC0F9E;Anais do SIMPOM;;2317-398X;B;Titledb;https://seer.unirio.br/simpom;Titledb;True;True;2022;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_74540C1341B64F60;Revista Negativo;2318-3616;2446-7065;B;Titledb;https://periodicos.unb.br/index.php/revnegativo;Titledb;True;True;2015;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_F41AA6D6981ED9F3;Revista de Direito / CAPP;;2764-3719;B;Titledb;https://periodicos.ufop.br/capp;Titledb;True;True;2021;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_CDD86B07C27FD9E3;Revista da Educação Matemática;;2237-809X;B;Titledb;https://periodicos.ufop.br/redumat;Titledb;True;True;2011;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_596D56A741EF817C;Anais da Faculdade de Medicina de Porto Alegre;0365-205X;;B;Titledb;https://seer.ufrgs.br/index.php/anaisfamed;Titledb;True;False;1965;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_105CE9C43AEEDAE6;rbem;;2966-1331;B;Titledb;https://periodicos.ufrn.br/RevisBraEstudoMidia/index;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_D0E8A131FEEE330C;Revista Científica Ciência em Curso;;2317-0077;B;Titledb;https://portaldeperiodicos.unisul.br/;Titledb;False;False;;False;True;False;False;duvidoso;erro_http;invalida;False;alta_complexidade;erro_http;inconclusivo
PER_65E52BC9FC60634C;Revista QUIPUS;;2237-8987;B;Titledb;https://repositorio.unp.br/index.php/quipus;Titledb;False;False;;False;True;False;False;duvidoso;erro_http;invalida;False;alta_complexidade;erro_http;inconclusivo
PER_F8B17F747152CA88;Revista e-ESTUDANTE: Electronic Accounting and Management;;1984-7378;B;Titledb;https://periodicos.utfpr.edu.br/ecap;Titledb;True;False;2011;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_A1FEA5E50554F61E;Revista do Fórum Internacional de Ideias;;2527-1377;B;Titledb;https://periodicos.ufop.br/revii;Titledb;True;True;2020;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_E4D0E5FFCAD508FA;Kalíope;1808-6977;;B;Titledb;https://revistas.pucsp.br/index.php/kaliope;Titledb;True;True;2016;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_E685FE897A5D25BE;A Peste: Revista de Psicanálise e Sociedade e Filosofia;2175-6104;;B;Titledb;https://revistas.pucsp.br/index.php/apeste;Titledb;True;True;2015;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_D25102A61591D7F8;Fundamento;2177-6563;2763-8545;B;Titledb;https://periodicos.ufop.br/virtualia-journal;Titledb;False;False;;False;True;True;True;duvidoso;redirect;invalida;False;alta_complexidade;redirect;inconclusivo
PER_65BFC33E1E6DAE4C;Revista Arquivos Brasileiros de Medicina Naval;0365-074X;;B;Titledb;https://portaldeperiodicos.marinha.mil.br/index.php/abmn;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_0A722B30F2EC3D58;Revista FMU Direito;1518-6652;2316-1515;B;Titledb;https://revistaseletronicas.fmu.br/index.php/FMUD;Titledb;True;True;2021;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_2EC069EE65193671;AntHropológicas Visual;;2525-3781;B;Titledb;https://periodicos.ufpe.br/revistas/revistaanthropologicasvisual;Titledb;True;True;2025;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_48E4D224EDA7B66D;Língua, Literatura e Ensino;;1981-6871;B;Titledb;https://revistas.iel.unicamp.br/index.php/lle/;Titledb;True;True;2024;True;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
PER_688058C9E4EB85C9;Boletim do Centro de Pesquisas Administrativas da EBAP;0101-1871;;B;Titledb;https://periodicos.fgv.br/boletimebap;Titledb;True;True;1966;False;True;False;False;correto;colecao_em_vez_de_periodico;indireta;True;media_complexidade;sem_observacao_adicional;confirmado
